Brand_ID,Brand_Name,Generic_ID,Generic_Name,Product_Code,Unit,Strength,Form,Category,Manufacturer,Pack_Size
B001,Zeben Tablets,G001,Albendazole,ZEB200,Tablet,200mg,Tablet,Anthelmintic,,
B002,Avamys Nasal Spray,G002,Fluticasone,AVA-NS,Spray,,Nasal Spray,Corticosteroid,GSK,
B003,Reichamox 500mg Capsules,G003,Amoxicillin,RCH500,Capsule,500mg,Capsule,Antibiotic,Reichen,
B004,Amoxil 250mg Capsules,G003,Amoxicillin,AMX250,Capsule,250mg,Capsule,Antibiotic,GSK,
B005,Seretide Diskus,G004,Fluticasone/Salmeterol,SER50250,Diskus,50/250mcg,Diskus Inhaler,Respiratory,GSK,
B006,Ampiclox Suspension,G005,Ampicillin/Cloxacillin,AMP250S,Bottle,250mg/5ml,Suspension,Antibiotic,,
B007,Reichlox Capsules,G005,Ampicillin/Cloxacillin,RCL500,Capsule,500mg,Capsule,Antibiotic,Reichen,
B008,Augmentin ES Suspension,G006,Amoxicillin/Clavulanic Acid,AUG642,Bottle,642.9mg/5ml,Suspension,Antibiotic,GSK,
B009,Duostam Capsules,G007,Dutasteride/Tamsulosin,DUO-CAP,Capsule,0.5mg/0.4mg,Capsule,Urology,,30
B010,Ventolin Inhaler,G008,Salbutamol,VEN200,Inhaler,200 doses,Inhaler,Bronchodilator,GSK,
B011,Coartem DS,G009,Artemether/Lumefantrine,COA80480,Tablet,80/480mg,Tablet,Antimalarial,Novartis,
B012,Amatem Softgel 80/480mg,G009,Artemether/Lumefantrine,AMA80480,Capsule,80/480mg,Softgel Capsule,Antimalarial,,
B013,Amatem Softgel 20/120mg,G009,Artemether/Lumefantrine,AMA20120,Capsule,20/120mg,Softgel Capsule,Antimalarial,,
B014,Lonart DS Tab,G009,Artemether/Lumefantrine,LON80480,Tablet,80/480mg,Tablet,Antimalarial,Bliss GVS,
B015,Lonart Suspension,G009,Artemether/Lumefantrine,LONS20,Bottle,20/120mg/5ml,Suspension,Antimalarial,Bliss GVS,
B016,Lokmal QS,G009,Artemether/Lumefantrine,LOK80480,Tablet,80/480mg,Tablet,Antimalarial,,
B017,Lokmal Suspension,G009,Artemether/Lumefantrine,LOKS20,Bottle,20/120mg,Suspension,Antimalarial,,
B018,Cataflam 50mg,G010,Diclofenac,CAT50,Tablet,50mg,Tablet,NSAID,Novartis,
B019,Clofenac SR 100mg,G010,Diclofenac,CLO100SR,Tablet,100mg,SR Tablet,NSAID,,
B020,Voltaren SR 100mg,G010,Diclofenac,VOL100SR,Tablet,100mg,SR Tablet,NSAID,Novartis,
B021,Sirdalud 2mg,G011,Tizanidine,SIR2,Tablet,2mg,Tablet,Muscle Relaxant,Novartis,
