Generic_ID,Generic_Name,Active_Ingredient,Category,Strengths_Available,Dosage_Forms,Route
G120,Acetylsalicylic Acid,Aspirin,Antiplatelet,75mg,Tablet,Oral
G001,Albendazole,Albendazole,Anthelmintic,200mg,Tablet,Oral
G145,Alfuzosin,Alfuzosin,Urology (Alpha Blocker),10mg,Tablet,Oral
G146,Allopurinol,Allopurinol,Antigout,"100mg, 300mg",Tablet,Oral
G139,Amiloride/Hydrochlorothiazide,Amiloride + Hydrochlorothiazide,Diuretic,5mg/25mg,Tablet,Oral
G105,Amlodipine,Amlodipine,Antihypertensive (CCB),"5mg, 10mg",Tablet,Oral
G121,Amlodipine/Valsartan,Amlodipine + Valsartan,Antihypertensive,"10mg/160mg, 10mg/320mg",Tablet,Oral
G122,Amlodipine/Valsartan/Hydrochlorothiazide,Amlodipine + Valsartan + HCTZ,Antihypertensive,10mg/160mg/12.5mg,Tablet,Oral
G003,Amoxicillin,Amoxicillin,Antibiotic,"250mg, 500mg",Capsule,Oral
G006,Amoxicillin/Clavulanic Acid,Amoxicillin + Clavulanic Acid,Antibiotic,"228mg/5ml, 625mg, 642.9mg/5ml, 1g","Suspension, Tablet",Oral
G005,Ampicillin/Cloxacillin,Ampicillin + Cloxacillin,Antibiotic,"250mg/5ml, 500mg","Suspension, Capsule",Oral
G035,Antacid,Aluminum/Magnesium Hydroxide,GI (Antacid),Alginic acid 400mg + Magnesium hydroxide 185mg + Aluminium hydroxide 195mg + Simethicone 25mg,"Suspension, Tablet",Oral
G076,Arteether,Arteether,Antimalarial,150mg/2ml,Injection,IM
G009,Artemether/Lumefantrine,Artemether + Lumefantrine,Antimalarial,"20/120mg, 80/480mg","Tablet, Capsule, Suspension",Oral
G080,Artesunate,Artesunate,Antimalarial,"30mg, 60mg",Injection,"IV, IM"
G152,Atenolol,Atenolol,Antihypertensive (Beta Blocker),"50mg, 100mg",Tablet,Oral
G109,Atorvastatin,Atorvastatin,Lipid Lowering (Statin),"10mg, 20mg, 40mg",Tablet,Oral
G012,Azithromycin,Azithromycin,Antibiotic (Macrolide),"250mg, 500mg","Capsule, Tablet",Oral
G111,Bendroflumethiazide,Bendroflumethiazide,Diuretic (Thiazide),2.5mg,Tablet,Oral
G068,Betamethasone/Gentamicin/Tolnaftate/Clioquinol,Betamethasone + Gentamicin + Tolnaftate + Clioquinol,Topical Combination,0.05%/0.1%/1%/3%,Cream,Topical
G067,Betamethasone/Neomycin,Betamethasone + Neomycin,Corticosteroid/Antibiotic,0.1%/0.5%,Eye/Ear Drops,Ophthalmic
G154,Bicalutamide,Bicalutamide,Anticancer (Antiandrogen),"50mg, 150mg",Tablet,Oral
