Generic_Name,Strength,Dosage_Form,Route
Brimonidine,0.2%,Eye Drops,Ophthalmic
Latanoprost,0.005%,Eye Drops,Ophthalmic
Dorzolamide/Timolol,2%/0.5%,Eye Drops,Ophthalmic
Clotrimazole,1%,Cream,Topical
Ciprofloxacin/Tinidazole,500/600mg,Tablet,Oral
Diphenhydramine,12.5mg/5ml,Syrup,Oral
Betamethasone/Neomycin,0.1%/0.5%,Eye/Ear Drops,Ophthalmic
Betamethasone/Gentamicin/Tolnaftate/Clioquinol,0.05%/0.1%/1%/3%,Cream,Topical
Clotrimazole/Gentamicin/Dexamethasone,1%/0.1%/0.05%,Cream,Topical
Calcium,500mg,Tablet,Oral
Carbocisteine,125mg/5ml,Syrup,Oral
Carbocisteine/Promethazine,125mg/5ml + 2.5mg/5ml,Syrup,Oral
Copper/Iron/Manganese,0.5mg/5ml + 50mg/5ml + 2mg/5ml,Oral Solution,Oral
Diphenhydramine Compound,14mg/5ml + 125mg/5ml + 125mg/5ml + 0.5mg/5ml,Syrup,Oral
Flurbiprofen,8.75mg,Lozenge,Oral
Hypromellose,0.3%,Eye Drops,Ophthalmic
Latanoprost/Timolol,0.005%/0.5%,Eye Drops,Ophthalmic
Liquid Paraffin,100%,Syrup,Oral
Methyl Salicylate,25%,Liniment,Topical
Miconazole,2%,Powder,Topical
Nystatin/Neomycin/Polymyxin,100000U/3.5mg/1000U per ovule,Ovule,Vaginal
Otic Combination,0.1% + 3.5mg/g + 1000U/g + 2%,Ear Drops,Otic
Methylcobalamin/Alpha-Lipoic Acid,1500mcg/100mg,Capsule,Oral
Methylcobalamin + Alpha-Lipoic Acid,1500mcg/100mg,Capsule,Oral
Probiotic,2e9 CFU/Capsule,Capsule,Oral
Vitamin B Complex,Thiamine 50mg + Pyridoxine 50mg + Cyanocobalamin 1mg,Tablet,Oral
Phospholipids with Vitamins,Phospholipids 300mg + Vitamins,Capsule,Oral
Iron Containing Multivitamin,Fe 18mg + Multivitamins,Syrup,Oral
Multivitamins,Vit A 5000IU + Vit C 75mg,Capsule,Oral
Paracetamol/Diphenhydramine/Pseudoephedrine,125mg/5ml + 12.5mg/5ml + 15mg/5ml,Syrup,Oral
Keto-Analogue of Amino Acids,Total nitrogen 36mg/tablet,Tablet,Oral
